CID zHD zHEL zHELERR m_b_corr m_b_corr_err_DIAG MU_SH0ES MU_SH0ES_ERR_DIAG CEPH_DIST IS_CALIBRATOR USED_IN_SH0ES_HF c cERR x1 x1ERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 RA DEC HOST_RA HOST_DEC HOST_ANGSEP VPEC VPECERR MWEBV HOST_LOGMASS HOST_LOGMASS_ERR PKMJD PKMJDERR NDOF FITCHI2 FITPROB m_b_corr_err_RAW m_b_corr_err_VPEC biasCor_m_b biasCorErr_m_b biasCor_m_b_COVSCALE biasCor_m_b_COVADD
2011fe 0.00122 0.00082 2e-05 9.74571 1.51621 28.9987 1.51645 29.177 1 0 -0.1076 0.040080000000000005 -0.548188 0.13373 9.58436 0.0327221 2.6318099999999998 0.0793177 0.00011378 -0.00052525 -0.00272765 210.774 54.2737 -999 -999 -9.0 0.0 250 0.00758935 10.677 -9.0 55815.0 0.1071 36 26.8859 0.8644700000000001 0.0991 1.496 0.0381 0.005 1.0 0.003
2011fe 0.00122 0.00082 2e-05 9.80286 1.5172299999999999 29.0559 1.51747 29.177 1 0 -0.032895 0.038463 -0.380481 0.0861 9.78448 0.035244199999999996 2.1888 0.0710511 -0.000443845 -0.00150198 -0.00220084 210.774 54.2737 -999 -999 -9.0 0.0 250 0.00758935 10.677 0.0 55815.2 0.0579 101 88.3064 0.8122199999999999 0.0971 1.496 -0.0252 0.003 1.0 0.004
2012cg 0.00256 0.00144 2e-05 11.4703 0.781906 30.7233 0.7823720000000001 30.8433 1 0 0.10073 0.018231 0.49196000000000006 0.023545 11.8161 0.023711900000000005 0.33695 0.00735879 -6.06025e-05 9.350539999999999e-06 -0.00011084200000000001 186.803 9.4203 -999 -999 -9.0 0.0 250 0.0177724 9.633 0.002 56082.4 0.0278 165 233.5 0.00035834699999999996 0.0399 0.7134 0.0545 0.019 1.0 0.036000000000000004
2012cg 0.00256 0.00144 2e-05 11.4919 0.798612 30.7449 0.799068 30.8433 1 0 0.12247000000000001 0.03903 0.7126100000000001 0.083554 11.8801 0.035961099999999996 0.31765 0.0105211 0.00022265599999999998 -0.000136637 -0.000344022 186.803 9.4203 -999 -999 -9.0 0.0 250 0.0177724 9.633 0.004 56082.4 0.0667 55 100.12200000000001 0.00019318599999999998 0.0931 0.7134 0.0622 0.027999999999999997 1.0 0.04
1994DRichmond 0.00299 0.00187 4e-05 11.5227 0.880798 30.7757 0.8812120000000001 -9.0 0 0 -0.11168399999999999 0.026044 -1.6180299999999999 0.049543000000000004 11.5334 0.0322548 0.43715 0.012986600000000001 -9.88782e-05 -3.53658e-05 -0.000291408 188.51 7.7016 -999 -999 -9.0 0.0 250 0.0191036 8.46247 -9.0 49432.6 0.0522 146 109.839 0.98874 0.0567 0.611 0.065 0.009000000000000001 1.0 0.006
1981B 0.00317 0.00236 1e-05 11.5416 0.613941 30.7946 0.614535 30.8338 1 0 -0.005137 0.030610000000000002 -0.44504799999999994 0.16526 11.6644 0.0335715 0.38748 0.011981100000000001 0.000163537 -0.000145198 -0.000305876 188.623 2.1998 -999 -999 -9.0 97.8762 250 0.0157149 9.686 -9.0 44672.6 0.2973 41 43.226000000000006 0.37642 0.0732 0.5763 0.0206 0.006999999999999999 1.0 0.013000000000000001
2013aa 0.00331 0.00411 0.00015 11.2074 0.59407 30.4604 0.594683 30.5454 1 0 -0.104394 0.054067 0.5129199999999999 0.15225 10.8911 0.10563 0.78986 0.0768433 0.00167787 -0.00136015 -0.00311121 218.141 -44.2244 -999 -999 -9.0 440.866 250 0.14605 10.53 0.0 56343.8 0.158 31 27.5263 0.6455 0.1104 0.5586 0.0298 0.003 1.0 0.003
2013aa 0.00331 0.00411 0.00015 11.2998 0.579622 30.5528 0.5802510000000001 30.5454 1 0 -0.15770699999999999 0.03608 0.63346 0.13865999999999998 10.8438 0.10031 0.82505 0.0762215 0.000245825 -3.6029199999999995e-06 -0.00231699 218.141 -44.2244 -999 -999 -9.0 440.866 250 0.14605 10.53 -9.0 56348.8 0.11900000000000001 56 35.0505 0.9872799999999999 0.062 0.5586 0.0727 0.006999999999999999 1.0 0.003
2017cbv 0.00331 0.00411 0.00015 11.1483 0.577815 30.4013 0.578445 30.5454 1 0 -0.125638 0.032337 0.61655 0.052564 10.7729 0.0944437 0.88076 0.07661330000000001 -0.000340495 0.00052152 -0.00206456 218.143 -44.1341 -999 -999 -9.0 440.866 250 0.14511 10.449000000000002 -9.0 57840.6 0.0381 94 69.7345 0.9713 0.057999999999999996 0.5586 0.0516 0.004 1.0 0.003
2017cbv 0.00331 0.00411 0.00015 11.2577 0.577916 30.5107 0.578546 30.5454 1 0 -0.096025 0.035108 0.81895 0.065942 10.914000000000001 0.0990172 0.77342 0.07053430000000001 -0.00018429 0.000187787 -0.00208332 218.143 -44.1341 -999 -999 -9.0 440.866 250 0.14511 10.449000000000002 -9.0 57840.7 0.05 92 45.169 0.9999899999999999 0.0607 0.5586 0.0216 0.003 1.0 0.003
2001el 0.0033299999999999996 0.00379 1e-05 12.2481 0.590389 31.5011 0.591006 31.2859 1 0 0.07410499999999999 0.025318 -0.131083 0.026693 12.4717 0.0305106 0.18422 0.00517671 -0.00011541200000000001 1.3890599999999999e-05 -0.000102774 56.1275 -44.6398 -999 -999 -9.0 71.5597 250 0.012218999999999999 11.28 -9.0 52183.0 0.0329 97 493.82300000000004 0.0 0.0584 0.5487 -0.0773 0.005 1.0 0.015
2011by 0.00349 0.00313 2e-05 12.5403 0.55206 31.7933 0.55272 31.6336 1 0 0.011283 0.018909 -0.334036 0.044392 12.627 0.023435499999999998 0.15967 0.00344642 -3.73833e-05 -2.98895e-05 -5.50824e-05 178.94 55.3256 -999 -999 -9.0 61.7743 250 0.012001399999999999 10.417 0.002 55690.9 0.0344 79 85.1227 0.29882 0.0423 0.5236 -0.0499 0.003 1.0 0.006999999999999999
